"codigo";"nome";"departamento_id"
99;"GESTÃO DE RESPONSABILIDADE SOCIOAMBIENTAL";6
100;"INTERNACIONALIZAÇÃO DE EMPRESAS E GESTÃO DE NEGÓCIOS";6
101;"INTRODUÇÃO À ADMINISTRAÇÃO";6
102;"INTRODUÇÃO A TEORIAS ORGANIZACIONAIS";6
103;"LOGÍSTICA ORGANIZACIONAL";6
104;"MACROECONOMIA APLICADA";6
105;"MARKETING DE SERVIÇOS";6
106;"MARKETING DIGITAL";6
107;"MERCADO FINANCEIRO E DE CAPITAIS";6
108;"METODOLOGIA CIENTÍFICA APLICADA";6
109;"MÉTODOS E MODELOS QUANTITATIVOS DE DECISÃO 1";6
110;"MICROECONOMIA APLICADA";6
111;"NEGOCIAÇÃO";6
112;"PESQUISA DE MARKETING";6
113;"PROJETO DE PESQUISA EM ADMINISTRAÇÃO";6
114;"SOCIOLOGIA APLICADA À ADMINISTRAÇÃO";6
115;"TÓPICOS CONTEMPORÂNEOS EM ADMINISTRAÇÃO 1";6
116;"TÓPICOS CONTEMPORÂNEOS EM ADMINISTRAÇÃO 2";6
117;"TÓPICOS CONTEMPORÂNEOS EM ESTRATÉGIA E INOVAÇÃO EM ORGANIZAÇÃO";6
118;"TÓPICOS CONTEMPORÂNEOS EM PRODUÇÃO, LOGÍSTICA E GESTÃO DA INFORMAÇÃO";6
119;"ANTROPOLOGIA DA ARTE";7
120;"ANTROPOLOGIA DA RELIGIÃO";7
121;"ANTROPOLOGIA DO GÊNERO";7
122;"ANTROPOLOGIA POLÍTICA";7
123;"ARQUEOLOGIA E OS MUNDOS INDÍGENAS PRÉ-COLOMBIANOS";7
124;"DISSERTAÇÃO";7
125;"ESTUDOS AFRO-BRASILEIROS";7
126;"EXCURSÃO DIDÁTICA DE PESQUISA";7
127;"IDENTIDADE E RELAÇÕES INTERÉTNICAS";7
128;"INTRODUÇÃO À ANTROPOLOGIA";7
129;"MÉTODOS E TÉCNICAS EM ANTROPOLOGIA SOCIAL";7
130;"ORGANIZAÇÃO SOCIAL E PARENTESCO";7
131;"SEMINÁRIO DE PESQUISA ANTROPOLÓGICA";7
132;"SOCIEDADES CAMPONESAS";7
